"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","#114","Miguel Angel Lopez","125cc Junior (12 – 17 años)","YAMAHA","1:47.011","9","3","25","","",""
"2","#111","Martin Ospina Cuello","125cc Junior (12 – 17 años)","Yamaha","1:48.924","9","4","22","7.951","7.951",""
"3","#120","MATIAS GOMEZ ORJUELA","125cc Junior (12 – 17 años)","KTM","1:53.815","9","9","20","1:01.137","53.186",""
"4","#222","Maximiliano Ramirez","125cc Junior (12 – 17 años)","Yamaha","1:52.077","9","9","18","1:02.705","1.568",""
"5","#130","Santiago Gutierrez Castillo","125cc Junior (12 – 17 años)","GasGas","1:57.029","9","2","16","1:51.398","48.693",""
"6","#818","Santigo Ferro","125cc Junior (12 – 17 años)","Yamaha 125","1:58.432","8","1","15","1 Vuelta","1 Vuelta",""
"7","#10","Matias Ospina","125cc Junior (12 – 17 años)","Husqvarna","2:03.627","8","2","14","1 Vuelta","24.718",""
"8","#56","Nicolás Acosta Solano","125cc Junior (12 – 17 años)","KTM 125sx","2:03.922","8","2","13","1 Vuelta","11.893",""
"NE","#301","Sebastián Sandoval","125cc Junior (12 – 17 años)","KTM","","","0","0","NE","",""
