"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","#114","Miguel Angel Lopez","125cc Junior (12 – 17 años)","YAMAHA","2:03.767","8","1","25","","",""
"2","#120","MATIAS GOMEZ ORJUELA","125cc Junior (12 – 17 años)","KTM","2:14.680","8","3","22","50.995","50.995",""
"3","#130","Santiago Gutierrez Castillo","125cc Junior (12 – 17 años)","GasGas","2:14.438","8","4","20","1:03.806","12.811",""
"4","#818","Santigo Ferro","125cc Junior (12 – 17 años)","Yamaha 125","2:23.318","7","2","18","1 Vuelta","1 Vuelta",""
"5","#10","Matias Ospina","125cc Junior (12 – 17 años)","Husqvarna","2:41.580","6","3","16","2 Vueltas","1 Vuelta",""
"6","#56","Nicolás Acosta Solano","125cc Junior (12 – 17 años)","KTM 125sx","2:42.629","6","3","15","2 Vueltas","44.126",""
"7","#222","Maximiliano Ramirez","125cc Junior (12 – 17 años)","Yamaha","2:21.877","6","3","14","2 Vueltas","2:24.446",""
"8","#111","Martin Ospina Cuello","125cc Junior (12 – 17 años)","Yamaha","2:08.800","5","1","13","3 Vueltas","1 Vuelta",""
"NE","#301","Sebastián Sandoval","125cc Junior (12 – 17 años)","KTM","","","0","0","NE","",""
